"Reporting starts","Reporting ends","Ad name","Date created","Attribution setting","Amount spent (USD)","Cost per results","Result indicator",Purchases,"Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (USD)","CPC (cost per link click) (USD)","Unique CTR (link click-through rate)",Reach,Impressions,Hook,Hold
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.26,,,,,2.321429,,0,112,112,0.08928571,0.02678571
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",13.48,,,,,2.634871,0.153182,1.681001,5116,5116,0.08893667,0.02716966
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.36,,,,,2.748092,,0,131,131,0.09923664,0.03053435
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.09,,,,,1.875,,0,48,48,0.0625,
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.75,34.75,actions:offsite_conversion.fb_pixel_purchase,1,1.725755,2.843699,0.190934,1.53741,11708,12220,0.09500818,0.03150573
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",13.59,,,,,2.715285,0.172025,1.591138,4965,5005,0.0963037,0.03036963
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.19,,,,,2.533333,0.095,2.702703,74,75,0.05333333,0.01333333
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.18,,,,,2.769231,0.18,1.538462,65,65,0.07692308,0.03076923
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",17.79,,,,,2.961545,0.183402,1.62861,5956,6007,0.09472282,0.03196271
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.2,,,,,1.923077,0.2,0.961538,104,104,0.125,0.03846154
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.11,,,,,2.156863,0.11,1.960784,51,51,0.11764706,0.01960784
